1000.99
Apple Phone-11,599.99,6
iMac Computer,4550.99,5
Dell Computer, 850, 10
HP Laptop, 1800.50, 10
Tomato Sauce, 0.80, 100
Bin Bags, 2.50, 10
Screw Driver,29.99,5
Socks,10.0,8
Dry Gin, 27.10, 100
Butter, 4.50, 10
Sunglasses, 11.50, 50
Halogen Light Bulbs, 6.25, 30
Liquid Detergents, 2.50, 20
CornFlakes, 5.55, 20
Bottle Drinks, 1.50, 100
Can Coke, 1.50, 100
Water Bottle,2.99,50
Guinness,7.55,8
Mens Shirt, 59.99, 20
Women Trousers, 29.50, 5
Blazers, 120.00, 10
Bread, 0.85, 30
Spaghetti, 2.0, 100
Beer, 2.10, 100
Butter, 3.75, 30
Soda, 1.25, 100
Tomato Sauce, 2.80, 20
Boxer Gloves, 21.50, 12
12" Screws,1.50,50
Towel,22.50,3
